timestamp,open,high,low,close,volume,vwap,transactions,year,name
2022-04-06,249.34,253,240.03,244.07,70076148.0,245.2649,988183,2022,NVDA
2022-04-07,244.41,247.22,234.78,242.08,55799236.0,241.549,714654,2022,NVDA
2022-04-08,239.17,239.23,230.6201,231.19,52478064.0,233.2497,671401,2022,NVDA
2022-04-11,222.14,223.1994,216.6,219.17,57483434.0,219.556,883230,2022,NVDA
2022-04-12,225.37,227.25,212.8204,215.04,65771807.0,218.7215,926864,2022,NVDA
2022-04-13,217.28,225,214.55,222.03,51667344.0,220.6315,655301,2022,NVDA
2022-04-14,225.05,227.77,211.63,212.58,56909685.0,217.2758,789247,2022,NVDA
2022-04-18,212,220.88,210.79,217.83,52570061.0,216.403,603364,2022,NVDA
2022-04-19,217.2,223.73,213.14,221.98,51270658.0,220.426,590022,2022,NVDA
2022-04-20,225.171,226.7037,212,214.82,46897444.0,216.4164,639623,2022,NVDA
2022-04-21,217.0915,223.92,200,201.83,65610344.0,208.5471,939649,2022,NVDA
2022-04-22,203.03,204.86,195,195.15,62416343.0,198.8925,995921,2022,NVDA
2022-04-25,192.02,199.45,190.96,199.02,64147821.0,194.9388,719523,2022,NVDA
2022-04-26,197.18,197.88,186.7,187.88,65314250.0,189.8777,760878,2022,NVDA
2022-04-27,185.98,191.67,182.9,184.15,49946017.0,186.4271,618285,2022,NVDA
2022-04-28,189.67,200.37,184.8957,197.82,57032671.0,193.4997,635751,2022,NVDA
2022-04-29,194.02,201.2848,185.17,185.47,50043491.0,191.3596,612471,2022,NVDA
2022-05-02,185.405,195.74,183.91,195.33,57204868.0,189.7449,595324,2022,NVDA
2022-05-03,194,198.25,191.33,196.02,47575084.0,195.2825,502553,2022,NVDA
2022-05-04,199.23,204,187.51,203.34,64885463.0,195.0596,751637,2022,NVDA
2022-05-05,198.67,199.25,185,188.44,62583141.0,189.5077,763625,2022,NVDA
2022-05-06,187.36,195.12,179.9,186.75,62803672.0,187.5339,702413,2022,NVDA
2022-05-09,180.34,182.55,168.27,169.5,64445451.0,174.0198,822227,2022,NVDA
2022-05-10,176.89,181.98,170.25,175.95,75140229.0,176.0605,806185,2022,NVDA
2022-05-11,173.47,177.53,165.68,166.3,66971139.0,171.1927,778025,2022,NVDA
2022-05-12,162.191,167.88,155.67,161.75,70863837.0,160.72,903255,2022,NVDA
2022-05-13,167.88,179.2843,165.925,177.06,67023651.0,174.8465,719347,2022,NVDA
2022-05-16,175.09,177.88,171.06,172.64,52144598.0,174.449,483480,2022,NVDA
2022-05-17,180.74,183.71,176.34,181.77,58582971.0,180.0808,563506,2022,NVDA
2022-05-18,177.05,181.18,168.64,169.38,54516106.0,173.659,536759,2022,NVDA
2022-05-19,169.37,176.87,167.3405,171.24,62130959.0,172.781,549159,2022,NVDA
2022-05-20,173.32,174.1,157.55,166.94,73910526.0,163.8915,722854,2022,NVDA
2022-05-23,162.74,169.15,161.7901,168.98,63988869.0,166.4595,546192,2022,NVDA
2022-05-24,165.1,165.97,157.8,161.54,58855002.0,161.2397,558878,2022,NVDA
2022-05-25,160.2,171.1099,160,169.75,77979990.0,165.7176,768374,2022,NVDA
2022-05-26,160.36,180.92,160.22,178.51,99612452.0,174.6776,914404,2022,NVDA
2022-05-27,181.86,188.81,181,188.11,73838014.0,185.5112,701004,2022,NVDA
2022-05-31,189.8,192,183.5,186.72,66409951.0,187.4639,615021,2022,NVDA
2022-06-01,187.24,190.5318,181.22,183.2,54451390.0,185.4384,535015,2022,NVDA
2022-06-02,182.92,196.19,181.98,195.92,64865580.0,191.9757,624105,2022,NVDA
2022-06-03,190.815,193.323,185.2156,187.2,59865470.0,188.6417,548127,2022,NVDA
2022-06-06,191.39,193.37,185.642,187.86,42240615.0,189.1265,412946,2022,NVDA
2022-06-07,184.72,190,181.88,189.26,38891411.0,187.2802,398018,2022,NVDA
2022-06-08,187.99,191.8,185.35,186.48,36325246.0,188.1114,373184,2022,NVDA
2022-06-09,184.81,189.33,180.41,180.48,39547379.0,185.1376,392445,2022,NVDA
2022-06-10,176,176.97,168.69,169.74,46564966.0,171.4428,532029,2022,NVDA
2022-06-13,160,163.12,156.06,156.47,60415338.0,158.6814,698922,2022,NVDA
2022-06-14,157.31,160.66,154.12,158.36,46953452.0,157.64,479628,2022,NVDA
2022-06-15,160.95,168.68,159.26,165.27,56393565.0,163.4682,560818,2022,NVDA
2022-06-16,158.6,159.4232,154.01,156.01,54484867.0,155.9775,568658,2022,NVDA
2022-06-17,156.48,159.95,153.28,158.8,63033397.0,157.816,496529,2022,NVDA
2022-06-21,164.745,170.08,164.07,165.66,48307138.0,167.5516,518114,2022,NVDA
2022-06-22,162.26,166.62,161.8,163.6,43799744.0,164.4195,436479,2022,NVDA
2022-06-23,165.185,165.85,158.53,162.25,46367959.0,161.5169,489644,2022,NVDA
2022-06-24,165,171.4,163.1,171.26,47215283.0,168.6261,459976,2022,NVDA
2022-06-27,173.12,173.3,166.255,168.69,42796788.0,169.3179,402904,2022,NVDA
2022-06-28,169,172.0199,159.45,159.82,46167336.0,163.5043,491605,2022,NVDA
2022-06-29,158.14,158.2,151.7,155.42,48235228.0,154.4985,545550,2022,NVDA
2022-06-30,153.61,155.67,148.62,151.59,68607003.0,152.0443,671450,2022,NVDA
2022-07-01,148.99,150.6291,143.92,145.23,57761008.0,146.2097,624513,2022,NVDA
2022-07-05,141.75,149.71,140.55,149.64,65220761.0,146.2807,619576,2022,NVDA
2022-07-06,150.1,153.1899,147.89,151.3,52906586.0,150.7677,466923,2022,NVDA
2022-07-07,154.555,159.45,153.89,158.58,49290276.0,157.0558,464641,2022,NVDA
2022-07-08,154.3,160.3699,153.89,158.38,46797176.0,157.1472,415842,2022,NVDA
2022-07-11,155.26,155.2699,150.3801,151.52,43838873.0,152.0903,414812,2022,NVDA
