timestamp,open,high,low,close,volume,vwap,transactions,year,name
2022-04-06,172.36,173.63,170.13,171.83,89058782.0,171.7887,769485,2022,AAPL
2022-04-07,171.16,173.36,169.85,172.14,77594650.0,171.8049,628352,2022,AAPL
2022-04-08,171.78,171.78,169.2,170.09,76534208.0,170.5154,614848,2022,AAPL
2022-04-11,168.71,169.03,165.5,165.75,72246706.0,166.692,677210,2022,AAPL
2022-04-12,168.02,169.87,166.64,167.66,79265181.0,168.0916,678461,2022,AAPL
2022-04-13,167.39,171.04,166.77,170.4,70618925.0,169.6805,558072,2022,AAPL
2022-04-14,170.62,171.27,165.04,165.29,75069376.0,167.2264,596848,2022,AAPL
2022-04-18,163.92,166.5984,163.57,165.07,69023941.0,164.9284,576791,2022,AAPL
2022-04-19,165.02,167.82,163.91,167.4,67723833.0,166.5491,548306,2022,AAPL
2022-04-20,168.76,168.88,166.1,167.23,67929814.0,167.3492,595063,2022,AAPL
2022-04-21,168.91,171.53,165.91,166.42,87227768.0,168.8014,752017,2022,AAPL
2022-04-22,166.46,167.8699,161.5,161.79,84875424.0,164.2289,730001,2022,AAPL
2022-04-25,161.12,163.17,158.46,162.88,96017376.0,160.7032,925124,2022,AAPL
2022-04-26,162.25,162.34,156.72,156.8,95595226.0,158.6074,899965,2022,AAPL
2022-04-27,155.91,159.79,155.38,156.57,88063191.0,157.4448,777860,2022,AAPL
2022-04-28,159.25,164.515,158.93,163.64,130149192.0,161.8622,1126019,2022,AAPL
2022-04-29,161.84,166.2,157.25,157.65,131747495.0,160.7133,1032218,2022,AAPL
2022-05-02,156.71,158.23,153.27,157.96,123050000.0,156.0357,1154671,2022,AAPL
2022-05-03,158.15,160.71,156.32,159.48,88966526.0,158.8014,706626,2022,AAPL
2022-05-04,159.67,166.48,159.26,166.02,108206503.0,162.4245,873681,2022,AAPL
2022-05-05,163.85,164.08,154.95,156.77,130419230.0,158.143,1164746,2022,AAPL
2022-05-06,156.01,159.44,154.18,157.28,115494647.0,157.3298,1023008,2022,AAPL
2022-05-09,154.925,155.83,151.49,152.06,131577921.0,153.1029,1103707,2022,AAPL
2022-05-10,155.52,156.74,152.93,154.51,115366736.0,154.8376,988257,2022,AAPL
2022-05-11,153.5,155.45,145.81,146.5,142547625.0,149.4468,1310796,2022,AAPL
2022-05-12,142.77,146.2,138.8,142.56,182408091.0,142.066,1678454,2022,AAPL
2022-05-13,144.59,148.105,143.11,147.11,113990852.0,146.3255,920506,2022,AAPL
2022-05-16,145.55,147.5199,144.18,145.54,86643781.0,145.7814,699719,2022,AAPL
2022-05-17,148.86,149.77,146.68,149.24,78138254.0,148.443,609263,2022,AAPL
2022-05-18,146.85,147.3601,139.9,140.82,109742890.0,142.6901,982288,2022,AAPL
2022-05-19,139.88,141.66,136.6,137.35,135863540.0,138.66,1219746,2022,AAPL
2022-05-20,139.09,140.7,132.61,137.59,137392625.0,136.397,1133362,2022,AAPL
2022-05-23,137.79,143.26,137.65,143.11,117726265.0,141.4344,851032,2022,AAPL
2022-05-24,140.805,141.97,137.33,140.36,104132746.0,139.4136,812515,2022,AAPL
2022-05-25,138.43,141.785,138.34,140.52,92482696.0,140.0769,688316,2022,AAPL
2022-05-26,137.39,144.34,137.14,143.78,90601098.0,142.3902,670652,2022,AAPL
2022-05-27,145.39,149.68,145.26,149.64,91425110.0,148.1995,686376,2022,AAPL
2022-05-31,149.07,150.66,146.84,148.84,103718416.0,149.0998,706652,2022,AAPL
2022-06-01,149.9,151.74,147.68,148.71,74286635.0,149.3747,629251,2022,AAPL
2022-06-02,147.83,151.27,146.86,151.21,72348055.0,149.5215,574552,2022,AAPL
2022-06-03,146.9,147.97,144.46,145.38,88570289.0,145.8127,761195,2022,AAPL
2022-06-06,147.03,148.5689,144.9,146.14,71598380.0,146.6167,605199,2022,AAPL
2022-06-07,144.345,149,144.1,148.71,67808150.0,147.5529,527360,2022,AAPL
2022-06-08,148.58,149.8697,147.46,147.96,53950201.0,148.6118,430174,2022,AAPL
2022-06-09,147.08,147.95,142.53,142.64,69472976.0,145.3266,558178,2022,AAPL
2022-06-10,140.28,140.76,137.06,137.13,91566637.0,138.1785,826197,2022,AAPL
2022-06-13,132.87,135.2,131.44,131.88,122128099.0,133.128,1019929,2022,AAPL
2022-06-14,133.13,133.89,131.48,132.76,84784326.0,132.5738,674981,2022,AAPL
2022-06-15,134.29,137.34,132.16,135.43,91532972.0,134.625,733275,2022,AAPL
2022-06-16,132.08,132.39,129.04,130.06,107961508.0,130.4622,909222,2022,AAPL
